index,hour,minute,date,month,year,moisture_1,humidity_1,temperature_1
0,22,13,14,2,2019,67,80,23.2
1,22,18,14,2,2019,67,81,23.1
2,22,23,14,2,2019,67,82,23.2
3,22,28,14,2,2019,67,82,23.1
4,22,33,14,2,2019,66,81,23.0
5,22,38,14,2,2019,67,81,23.2
6,22,43,14,2,2019,67,80,22.9
7,22,48,14,2,2019,67,80,22.8
8,22,53,14,2,2019,67,78,23.1
9,22,58,14,2,2019,67,77,23.0
10,23,3,14,2,2019,67,77,22.7
11,23,8,14,2,2019,67,78,22.8
12,23,13,14,2,2019,67,78,22.8
13,23,18,14,2,2019,67,79,22.7
14,23,23,14,2,2019,67,79,22.7
15,23,28,14,2,2019,67,78,22.9
16,23,33,14,2,2019,67,79,23.1
17,23,38,14,2,2019,67,80,23.0
18,23,43,14,2,2019,66,83,22.9
19,23,48,14,2,2019,67,84,22.8
20,23,53,14,2,2019,66,87,22.5
21,23,58,14,2,2019,66,87,22.6
22,0,3,15,2,2019,66,88,22.5
23,0,8,15,2,2019,66,88,22.3
24,0,13,15,2,2019,67,88,22.3
25,0,18,15,2,2019,66,87,22.3
26,0,23,15,2,2019,67,88,22.3
27,0,29,15,2,2019,67,89,22.4
28,0,34,15,2,2019,66,56,22.3
29,0,39,15,2,2019,67,60,22.2
30,0,44,15,2,2019,67,47,22.2
31,0,49,15,2,2019,67,49,22.2
32,0,54,15,2,2019,66,56,22.2
33,0,59,15,2,2019,66,47,22.3
34,1,4,15,2,2019,66,60,22.2
35,1,9,15,2,2019,66,59,22.4
36,1,14,15,2,2019,66,49,22.7
37,1,19,15,2,2019,67,51,22.7
38,1,24,15,2,2019,66,58,22.8
39,1,29,15,2,2019,67,49,22.7
40,1,34,15,2,2019,66,57,22.7
41,1,39,15,2,2019,66,49,22.5
42,1,44,15,2,2019,66,51,22.5
43,1,49,15,2,2019,66,50,22.5
44,1,54,15,2,2019,67,52,22.7
45,1,59,15,2,2019,66,56,22.5
46,2,4,15,2,2019,66,53,22.6
47,2,9,15,2,2019,65,53,22.7
48,2,14,15,2,2019,66,57,22.7
49,2,19,15,2,2019,66,57,22.5
50,2,24,15,2,2019,67,50,22.7
51,2,29,15,2,2019,66,60,22.6
52,2,34,15,2,2019,67,46,22.7
53,2,39,15,2,2019,67,48,22.7
54,2,44,15,2,2019,67,90,22.7
55,2,49,15,2,2019,66,88,22.8
56,2,54,15,2,2019,67,87,22.7
57,2,59,15,2,2019,66,86,22.8
58,3,4,15,2,2019,67,85,22.7
59,3,9,15,2,2019,67,84,22.7
60,3,14,15,2,2019,67,84,22.7
61,3,19,15,2,2019,66,83,22.6
62,3,24,15,2,2019,66,83,22.7
63,3,29,15,2,2019,67,84,22.5
64,3,34,15,2,2019,66,83,22.5
65,3,39,15,2,2019,67,83,22.5
66,3,45,15,2,2019,66,81,22.5
67,3,50,15,2,2019,66,82,22.5
68,3,55,15,2,2019,67,82,22.5
69,4,0,15,2,2019,67,85,22.4
70,4,5,15,2,2019,67,87,22.4
71,4,10,15,2,2019,67,89,22.5
72,4,15,15,2,2019,66,51,22.4
73,4,20,15,2,2019,67,57,22.2
74,4,25,15,2,2019,66,60,22.2
75,4,30,15,2,2019,66,55,22.4
76,4,35,15,2,2019,66,56,22.4
77,4,40,15,2,2019,66,62,22.2
78,4,45,15,2,2019,66,49,22.1
79,4,50,15,2,2019,67,53,22.3
80,4,55,15,2,2019,66,61,22.2
81,5,0,15,2,2019,66,48,22.0
82,5,5,15,2,2019,67,47,22.0
83,5,10,15,2,2019,66,52,21.9
84,5,15,15,2,2019,67,47,21.9
85,5,20,15,2,2019,66,52,21.8
86,5,25,15,2,2019,66,52,21.9
87,5,30,15,2,2019,65,47,21.8
88,5,35,15,2,2019,67,89,22.0
89,5,40,15,2,2019,65,90,21.8
90,5,45,15,2,2019,66,89,21.8
91,5,50,15,2,2019,66,90,21.6
92,5,55,15,2,2019,66,90,21.7
93,6,0,15,2,2019,67,88,21.7
94,6,5,15,2,2019,67,85,22.0
95,6,10,15,2,2019,67,85,21.9
96,6,15,15,2,2019,66,85,21.9
97,6,20,15,2,2019,66,84,21.9
98,6,25,15,2,2019,67,85,21.7
99,6,30,15,2,2019,67,84,21.7
100,6,35,15,2,2019,66,81,21.9
101,6,40,15,2,2019,68,81,21.7
102,6,45,15,2,2019,67,82,21.3
103,6,50,15,2,2019,67,82,21.4
104,6,55,15,2,2019,67,82,21.2
105,7,1,15,2,2019,67,82,21.4
106,7,6,15,2,2019,66,84,21.3
107,7,11,15,2,2019,67,83,21.2
108,7,16,15,2,2019,67,83,21.4
109,7,21,15,2,2019,67,81,21.3
110,7,26,15,2,2019,67,80,21.4
111,7,31,15,2,2019,66,79,21.5
112,7,36,15,2,2019,67,78,21.6
113,7,41,15,2,2019,66,77,21.9
114,7,46,15,2,2019,67,75,22.2
115,7,51,15,2,2019,67,75,22.3
116,7,56,15,2,2019,66,75,22.4
117,8,1,15,2,2019,67,74,22.5
118,8,6,15,2,2019,66,75,22.7
119,8,11,15,2,2019,67,74,22.9
120,8,16,15,2,2019,66,74,23.0
121,8,21,15,2,2019,66,73,23.2
122,8,26,15,2,2019,66,72,23.7
123,8,31,15,2,2019,66,65,25.8
124,8,36,15,2,2019,66,62,26.3
125,8,41,15,2,2019,66,61,26.3
126,8,46,15,2,2019,66,58,27.0
127,8,51,15,2,2019,66,58,26.9
128,8,56,15,2,2019,65,58,27.2
129,9,1,15,2,2019,65,55,28.1
130,9,6,15,2,2019,65,55,28.1
131,9,11,15,2,2019,65,54,28.5
132,9,16,15,2,2019,65,55,28.6
133,9,21,15,2,2019,65,53,28.6
134,9,26,15,2,2019,65,53,28.9
135,9,31,15,2,2019,65,51,29.4
136,9,36,15,2,2019,64,55,27.5
137,9,41,15,2,2019,64,55,28.0
138,9,46,15,2,2019,63,52,29.4
139,9,51,15,2,2019,63,52,29.7
140,9,56,15,2,2019,63,50,30.7
141,10,1,15,2,2019,63,50,30.1
142,10,6,15,2,2019,63,48,31.2
143,10,11,15,2,2019,63,46,30.7
144,10,16,15,2,2019,62,48,30.8
145,10,22,15,2,2019,63,44,31.8
146,10,27,15,2,2019,62,45,31.8
147,10,32,15,2,2019,62,51,29.2
148,10,37,15,2,2019,62,51,29.9
149,10,42,15,2,2019,61,51,30.2
150,10,47,15,2,2019,61,52,30.1
151,10,52,15,2,2019,62,53,28.8
152,10,57,15,2,2019,61,51,29.6
153,11,2,15,2,2019,61,52,29.9
154,11,7,15,2,2019,60,51,30.8
155,11,12,15,2,2019,61,49,30.9
156,11,17,15,2,2019,61,49,29.8
157,11,22,15,2,2019,60,54,29.0
158,11,27,15,2,2019,60,55,29.6
159,11,32,15,2,2019,60,54,29.6
160,11,37,15,2,2019,59,52,30.4
161,11,42,15,2,2019,60,50,31.7
162,11,47,15,2,2019,60,47,31.2
163,11,52,15,2,2019,59,47,31.3
164,11,57,15,2,2019,59,48,31.2
165,12,2,15,2,2019,60,45,32.2
166,12,7,15,2,2019,60,45,32.1
167,12,12,15,2,2019,59,48,30.7
168,12,17,15,2,2019,59,46,32.3
169,12,22,15,2,2019,59,44,32.8
170,12,27,15,2,2019,59,44,34.4
171,12,32,15,2,2019,59,43,34.4
172,12,37,15,2,2019,59,45,33.6
173,12,42,15,2,2019,59,44,33.5
174,12,47,15,2,2019,59,45,33.7
175,12,52,15,2,2019,59,47,32.8
176,12,57,15,2,2019,59,49,31.2
177,13,2,15,2,2019,59,50,30.5
178,13,7,15,2,2019,59,48,30.6
179,13,12,15,2,2019,59,43,31.6
180,13,17,15,2,2019,58,42,31.6
181,13,22,15,2,2019,58,39,33.3
182,13,27,15,2,2019,58,37,33.4
183,13,33,15,2,2019,57,34,34.3
184,13,38,15,2,2019,57,35,34.3
185,13,43,15,2,2019,57,37,33.5
186,13,48,15,2,2019,57,38,33.1
187,13,53,15,2,2019,57,38,32.9
188,13,58,15,2,2019,56,35,32.9
189,14,3,15,2,2019,57,35,34.0
190,14,8,15,2,2019,57,34,33.3
191,14,13,15,2,2019,57,35,33.4
192,14,18,15,2,2019,57,37,33.2
193,14,23,15,2,2019,57,39,32.3
194,14,28,15,2,2019,57,41,32.0
195,14,33,15,2,2019,57,42,31.5
196,14,38,15,2,2019,57,45,30.8
197,14,43,15,2,2019,57,49,30.0
198,14,48,15,2,2019,58,47,31.7
199,14,53,15,2,2019,57,53,30.1
200,14,58,15,2,2019,58,52,30.8
201,15,3,15,2,2019,58,52,31.1
202,15,8,15,2,2019,57,53,30.8
203,15,13,15,2,2019,57,52,31.3
204,15,18,15,2,2019,56,53,31.3
205,15,23,15,2,2019,56,55,30.5
206,15,28,15,2,2019,56,55,31.1
207,15,33,15,2,2019,56,56,30.8
208,15,38,15,2,2019,56,58,29.7
