index,moisture_1,humidity_1,temperature_1
0,69,80,23.2
1,69,81,23.1
2,69,82,23.2
3,69,82,23.1
4,68,81,23.0
5,69,81,23.2
6,69,80,22.9
7,69,80,22.8
8,69,78,23.1
9,69,77,23.0
10,69,77,22.7
11,69,78,22.8
12,69,78,22.8
13,69,79,22.7
14,69,79,22.7
15,69,78,22.9
16,69,79,23.1
17,69,80,23.0
18,68,83,22.9
19,69,84,22.8
20,68,87,22.5
21,68,87,22.6
22,68,88,22.5
23,68,88,22.3
24,69,88,22.3
25,68,87,22.3
26,69,88,22.3
27,69,89,22.4
28,68,48,22.3
29,69,50,22.2
30,69,55,22.2
31,69,54,22.2
32,68,51,22.2
33,68,46,22.3
34,68,50,22.2
35,68,55,22.4
36,68,59,22.7
37,69,55,22.7
38,68,47,22.8
39,69,47,22.7
40,68,53,22.7
41,68,60,22.5
42,68,47,22.5
43,68,48,22.5
44,69,53,22.7
45,68,59,22.5
46,68,50,22.6
47,67,58,22.7
48,68,59,22.7
49,68,56,22.5
50,69,57,22.7
51,68,61,22.6
52,69,55,22.7
53,69,59,22.7
54,69,90,22.7
55,68,88,22.8
56,69,87,22.7
57,68,86,22.8
58,69,85,22.7
59,69,84,22.7
60,69,84,22.7
61,68,83,22.6
62,68,83,22.7
63,69,84,22.5
64,68,83,22.5
65,69,83,22.5
66,68,81,22.5
67,68,82,22.5
68,69,82,22.5
69,69,85,22.4
70,69,87,22.4
71,69,89,22.5
72,68,50,22.4
73,69,53,22.2
74,68,55,22.2
75,68,51,22.4
76,68,47,22.4
77,68,57,22.2
78,68,52,22.1
79,69,53,22.3
80,68,51,22.2
81,68,47,22.0
82,69,58,22.0
83,68,47,21.9
84,69,48,21.9
85,68,60,21.8
86,68,52,21.9
87,67,47,21.8
88,69,89,22.0
89,67,90,21.8
90,68,89,21.8
91,68,90,21.6
92,68,90,21.7
93,69,88,21.7
94,69,85,22.0
95,69,85,21.9
96,68,85,21.9
97,68,84,21.9
98,69,85,21.7
99,69,84,21.7
100,68,81,21.9
101,70,81,21.7
102,69,82,21.3
103,69,82,21.4
104,69,82,21.2
105,69,82,21.4
106,68,84,21.3
107,69,83,21.2
108,69,83,21.4
109,69,81,21.3
110,69,80,21.4
111,68,79,21.5
112,69,78,21.6
113,68,77,21.9
114,69,75,22.2
115,69,75,22.3
116,68,75,22.4
117,69,74,22.5
118,68,75,22.7
119,69,74,22.9
120,68,74,23.0
121,68,73,23.2
122,68,72,23.7
123,68,65,25.8
124,68,62,26.3
125,68,61,26.3
126,68,58,27.0
127,68,58,26.9
128,67,58,27.2
129,67,55,28.1
130,67,55,28.1
131,67,54,28.5
132,67,55,28.6
133,67,53,28.6
134,67,53,28.9
135,67,51,29.4
136,66,55,27.5
137,66,55,28.0
138,65,52,29.4
139,65,52,29.7
140,65,50,30.7
141,65,50,30.1
142,65,48,31.2
143,65,46,30.7
144,64,48,30.8
145,65,44,31.8
146,64,45,31.8
147,64,51,29.2
148,64,51,29.9
149,63,51,30.2
150,63,52,30.1
151,64,53,28.8
152,63,51,29.6
153,63,52,29.9
154,62,51,30.8
155,63,49,30.9
156,63,49,29.8
157,62,54,29.0
158,62,55,29.6
159,62,54,29.6
160,61,52,30.4
161,62,50,31.7
162,62,47,31.2
163,61,47,31.3
164,61,48,31.2
165,62,45,32.2
166,62,45,32.1
167,61,48,30.7
168,61,46,32.3
169,61,44,32.8
170,61,44,34.4
171,61,43,34.4
172,61,45,33.6
173,61,44,33.5
174,61,45,33.7
175,61,47,32.8
176,61,49,31.2
177,61,50,30.5
178,61,48,30.6
179,61,43,31.6
180,60,42,31.6
181,60,39,33.3
182,60,37,33.4
183,59,34,34.3
