,soil_moisture,humidity,temperature,labels
0,69,80,23.2,0
1,69,81,23.1,0
2,69,82,23.2,0
3,69,82,23.1,0
4,68,81,23.0,0
5,69,81,23.2,0
6,69,80,22.9,0
7,69,80,22.8,0
8,69,78,23.1,1
9,69,77,23.0,1
10,69,77,22.7,1
11,69,78,22.8,1
12,69,78,22.8,1
13,69,79,22.7,1
14,69,79,22.7,1
15,69,78,22.9,1
16,69,79,23.1,1
17,69,80,23.0,0
18,68,83,22.9,0
19,69,84,22.8,0
20,68,87,22.5,0
21,68,87,22.6,0
22,68,88,22.5,0
23,68,88,22.3,0
24,69,88,22.3,0
25,68,87,22.3,0
26,69,88,22.3,0
27,69,89,22.4,0
28,68,48,22.3,0
29,69,50,22.2,0
30,69,55,22.2,0
31,69,54,22.2,0
32,68,51,22.2,0
33,68,46,22.3,0
34,68,50,22.2,0
35,68,55,22.4,0
36,68,59,22.7,0
37,69,55,22.7,0
38,68,47,22.8,0
39,69,47,22.7,0
40,68,53,22.7,0
41,68,60,22.5,1
42,68,47,22.5,0
43,68,48,22.5,0
44,69,53,22.7,0
45,68,59,22.5,0
46,68,50,22.6,0
47,67,58,22.7,0
48,68,59,22.7,0
49,68,56,22.5,0
50,69,57,22.7,0
51,68,61,22.6,1
52,69,55,22.7,0
53,69,59,22.7,0
54,69,90,22.7,0
55,68,88,22.8,0
56,69,87,22.7,0
57,68,86,22.8,0
58,69,85,22.7,0
59,69,84,22.7,0
60,69,84,22.7,0
61,68,83,22.6,0
62,68,83,22.7,0
63,69,84,22.5,0
64,68,83,22.5,0
65,69,83,22.5,0
66,68,81,22.5,0
67,68,82,22.5,0
68,69,82,22.5,0
69,69,85,22.4,0
70,69,87,22.4,0
71,69,89,22.5,0
72,68,50,22.4,0
73,69,53,22.2,0
74,68,55,22.2,0
75,68,51,22.4,0
76,68,47,22.4,0
77,68,57,22.2,0
78,68,52,22.1,0
79,69,53,22.3,0
80,68,51,22.2,0
81,68,47,22.0,0
82,69,58,22.0,0
83,68,47,21.9,0
84,69,48,21.9,0
85,68,60,21.8,1
86,68,52,21.9,0
87,67,47,21.8,0
88,69,89,22.0,0
89,67,90,21.8,0
90,68,89,21.8,0
91,68,90,21.6,0
92,68,90,21.7,0
93,69,88,21.7,0
94,69,85,22.0,0
95,69,85,21.9,0
96,68,85,21.9,0
97,68,84,21.9,0
98,69,85,21.7,0
99,69,84,21.7,0
100,68,81,21.9,0
101,70,81,21.7,0
102,69,82,21.3,0
103,69,82,21.4,0
104,69,82,21.2,0
105,69,82,21.4,0
106,68,84,21.3,0
107,69,83,21.2,0
108,69,83,21.4,0
109,69,81,21.3,0
110,69,80,21.4,0
111,68,79,21.5,1
112,69,78,21.6,1
113,68,77,21.9,1
114,69,75,22.2,1
115,69,75,22.3,1
116,68,75,22.4,1
117,69,74,22.5,1
118,68,75,22.7,1
119,69,74,22.9,1
120,68,74,23.0,1
