_id,minute,date,moisture_1,hour,month,year,humidity_1,temperature_1
ObjectId("5c659aa7eed976247dfbf8f6"),13,14,96,22,02,2019,80.40,23.20
ObjectId("5c659bd5eed976247dfbf8f8"),18,14,96,22,02,2019,80.60,23.10
ObjectId("5c659d03eed976247dfbf8fa"),23,14,96,22,02,2019,81.50,23.20
ObjectId("5c659e30eed976247dfbf8fc"),28,14,96,22,02,2019,81.60,23.10
ObjectId("5c659f5eeed976247dfbf8fe"),33,14,95,22,02,2019,80.70,23.00
ObjectId("5c65a08beed976247dfbf900"),38,14,96,22,02,2019,80.60,23.20
ObjectId("5c65a1baeed976247dfbf902"),43,14,96,22,02,2019,80.30,22.90
ObjectId("5c65a2e6eed976247dfbf904"),48,14,96,22,02,2019,79.80,22.80
ObjectId("5c65a414eed976247dfbf906"),53,14,96,22,02,2019,77.50,23.10
ObjectId("5c65a541eed976247dfbf908"),58,14,96,22,02,2019,77.20,23.00
ObjectId("5c65a66feed976247dfbf90a"),03,14,96,23,02,2019,77.20,22.70
ObjectId("5c65a79ceed976247dfbf90c"),08,14,96,23,02,2019,78.10,22.80
ObjectId("5c65a8caeed976247dfbf90e"),13,14,96,23,02,2019,78.20,22.80
ObjectId("5c65a9f7eed976247dfbf910"),18,14,96,23,02,2019,79.20,22.70
ObjectId("5c65ab25eed976247dfbf912"),23,14,96,23,02,2019,79.40,22.70
ObjectId("5c65ac52eed976247dfbf914"),28,14,96,23,02,2019,78.50,22.90
ObjectId("5c65ad80eed976247dfbf916"),33,14,96,23,02,2019,78.80,23.10
ObjectId("5c65aeadeed976247dfbf918"),38,14,96,23,02,2019,80.20,23.00
ObjectId("5c65afdbeed976247dfbf91a"),43,14,95,23,02,2019,82.70,22.90
ObjectId("5c65b109eed976247dfbf91c"),48,14,96,23,02,2019,84.30,22.80
ObjectId("5c65b236eed976247dfbf91e"),53,14,95,23,02,2019,86.80,22.50
ObjectId("5c65b364eed976247dfbf920"),58,14,95,23,02,2019,87.30,22.60
ObjectId("5c65b491eed976247dfbf922"),03,15,95,00,02,2019,87.70,22.50
ObjectId("5c65b5bfeed976247dfbf924"),08,15,95,00,02,2019,88.50,22.30
ObjectId("5c65b6eceed976247dfbf926"),13,15,96,00,02,2019,87.90,22.30
ObjectId("5c65b81aeed976247dfbf928"),18,15,95,00,02,2019,87.20,22.30
ObjectId("5c65b947eed976247dfbf92a"),23,15,96,00,02,2019,88.50,22.30
ObjectId("5c65ba75eed976247dfbf92c"),29,15,96,00,02,2019,88.70,22.40
ObjectId("5c65bba2eed976247dfbf92e"),34,15,95,00,02,2019,90.10,22.30
ObjectId("5c65bcd0eed976247dfbf930"),39,15,96,00,02,2019,90.40,22.20
ObjectId("5c65bdfdeed976247dfbf932"),44,15,96,00,02,2019,90.90,22.20
ObjectId("5c65bf2beed976247dfbf934"),49,15,96,00,02,2019,91.00,22.20
ObjectId("5c65c058eed976247dfbf936"),54,15,95,00,02,2019,91.50,22.20
ObjectId("5c65c186eed976247dfbf938"),59,15,95,00,02,2019,91.50,22.30
ObjectId("5c65c2b3eed976247dfbf93a"),04,15,95,01,02,2019,92.20,22.20
ObjectId("5c65c3e1eed976247dfbf93c"),09,15,95,01,02,2019,91.70,22.40
ObjectId("5c65c50eeed976247dfbf93e"),14,15,95,01,02,2019,91.20,22.70
ObjectId("5c65c63ceed976247dfbf940"),19,15,96,01,02,2019,91.00,22.70
ObjectId("5c65c769eed976247dfbf942"),24,15,95,01,02,2019,90.90,22.80
ObjectId("5c65c897eed976247dfbf944"),29,15,96,01,02,2019,91.00,22.70
ObjectId("5c65c9c5eed976247dfbf946"),34,15,95,01,02,2019,90.90,22.70
ObjectId("5c65caf2eed976247dfbf948"),39,15,95,01,02,2019,91.30,22.50
ObjectId("5c65cc20eed976247dfbf94a"),44,15,95,01,02,2019,90.90,22.50
ObjectId("5c65cd4deed976247dfbf94c"),49,15,95,01,02,2019,91.30,22.50
ObjectId("5c65ce7beed976247dfbf94e"),54,15,96,01,02,2019,90.90,22.70
ObjectId("5c65cfa8eed976247dfbf950"),59,15,95,01,02,2019,91.40,22.50
ObjectId("5c65d0d6eed976247dfbf952"),04,15,95,02,02,2019,90.80,22.60
ObjectId("5c65d203eed976247dfbf954"),09,15,94,02,02,2019,90.60,22.70
ObjectId("5c65d331eed976247dfbf956"),14,15,95,02,02,2019,90.70,22.70
ObjectId("5c65d45eeed976247dfbf958"),19,15,95,02,02,2019,91.00,22.50
ObjectId("5c65d58ceed976247dfbf95a"),24,15,96,02,02,2019,90.50,22.70
ObjectId("5c65d6b9eed976247dfbf95c"),29,15,95,02,02,2019,90.70,22.60
ObjectId("5c65d7e7eed976247dfbf95e"),34,15,96,02,02,2019,90.30,22.70
ObjectId("5c65d914eed976247dfbf960"),39,15,96,02,02,2019,90.10,22.70
ObjectId("5c65da42eed976247dfbf962"),44,15,96,02,02,2019,89.60,22.70
ObjectId("5c65db6feed976247dfbf964"),49,15,95,02,02,2019,88.40,22.80
ObjectId("5c65dc9deed976247dfbf966"),54,15,96,02,02,2019,86.90,22.70
ObjectId("5c65ddcaeed976247dfbf968"),59,15,95,02,02,2019,85.50,22.80
ObjectId("5c65def8eed976247dfbf96a"),04,15,96,03,02,2019,85.10,22.70
ObjectId("5c65e026eed976247dfbf96c"),09,15,96,03,02,2019,84.20,22.70
ObjectId("5c65e153eed976247dfbf96e"),14,15,96,03,02,2019,83.60,22.70
ObjectId("5c65e281eed976247dfbf970"),19,15,95,03,02,2019,83.10,22.60
ObjectId("5c65e3aeeed976247dfbf972"),24,15,95,03,02,2019,82.60,22.70
ObjectId("5c65e4dceed976247dfbf974"),29,15,96,03,02,2019,83.70,22.50
ObjectId("5c65e609eed976247dfbf976"),34,15,95,03,02,2019,83.20,22.50
ObjectId("5c65e737eed976247dfbf978"),39,15,96,03,02,2019,82.90,22.50
ObjectId("5c65e864eed976247dfbf97a"),45,15,95,03,02,2019,81.20,22.50
ObjectId("5c65e992eed976247dfbf97c"),50,15,95,03,02,2019,81.60,22.50
ObjectId("5c65eabfeed976247dfbf97e"),55,15,96,03,02,2019,82.30,22.50
ObjectId("5c65ebedeed976247dfbf980"),00,15,96,04,02,2019,85.20,22.40
ObjectId("5c65ed1aeed976247dfbf982"),05,15,96,04,02,2019,87.20,22.40
ObjectId("5c65ee48eed976247dfbf984"),10,15,96,04,02,2019,89.10,22.50
ObjectId("5c65ef75eed976247dfbf986"),15,15,95,04,02,2019,90.30,22.40
ObjectId("5c65f0a3eed976247dfbf988"),20,15,96,04,02,2019,91.40,22.20
ObjectId("5c65f1d0eed976247dfbf98a"),25,15,95,04,02,2019,92.10,22.20
ObjectId("5c65f2feeed976247dfbf98c"),30,15,95,04,02,2019,91.80,22.40
ObjectId("5c65f42beed976247dfbf98e"),35,15,95,04,02,2019,91.80,22.40
ObjectId("5c65f559eed976247dfbf990"),40,15,95,04,02,2019,92.20,22.20
ObjectId("5c65f687eed976247dfbf992"),45,15,95,04,02,2019,92.00,22.10
ObjectId("5c65f7b4eed976247dfbf994"),50,15,96,04,02,2019,91.10,22.30
ObjectId("5c65f8e2eed976247dfbf996"),55,15,95,04,02,2019,91.50,22.20
ObjectId("5c65fa0feed976247dfbf998"),00,15,95,05,02,2019,91.50,22.00
ObjectId("5c65fb3deed976247dfbf99a"),05,15,96,05,02,2019,91.40,22.00
ObjectId("5c65fc6aeed976247dfbf99c"),10,15,95,05,02,2019,91.80,21.90
ObjectId("5c65fd98eed976247dfbf99e"),15,15,96,05,02,2019,91.30,21.90
ObjectId("5c65fec5eed976247dfbf9a0"),20,15,95,05,02,2019,91.50,21.80
ObjectId("5c65fff3eed976247dfbf9a2"),25,15,95,05,02,2019,91.30,21.90
ObjectId("5c660120eed976247dfbf9a4"),30,15,94,05,02,2019,90.70,21.80
ObjectId("5c66024eeed976247dfbf9a6"),35,15,96,05,02,2019,89.10,22.00
ObjectId("5c66037beed976247dfbf9a8"),40,15,94,05,02,2019,89.50,21.80
ObjectId("5c6604a9eed976247dfbf9aa"),45,15,95,05,02,2019,88.70,21.80
ObjectId("5c6605d6eed976247dfbf9ac"),50,15,95,05,02,2019,89.80,21.60
ObjectId("5c660704eed976247dfbf9ae"),55,15,95,05,02,2019,89.50,21.70
ObjectId("5c660831eed976247dfbf9b0"),00,15,96,06,02,2019,88.40,21.70
ObjectId("5c66095feed976247dfbf9b2"),05,15,96,06,02,2019,84.70,22.00
ObjectId("5c660a8ceed976247dfbf9b4"),10,15,96,06,02,2019,85.00,21.90
ObjectId("5c660bbaeed976247dfbf9b6"),15,15,95,06,02,2019,84.90,21.90
ObjectId("5c660ce8eed976247dfbf9b8"),20,15,95,06,02,2019,84.30,21.90
ObjectId("5c660e15eed976247dfbf9ba"),25,15,96,06,02,2019,84.60,21.70
ObjectId("5c660f43eed976247dfbf9bc"),30,15,96,06,02,2019,83.50,21.70
ObjectId("5c661070eed976247dfbf9be"),35,15,95,06,02,2019,81.00,21.90
ObjectId("5c66119eeed976247dfbf9c0"),40,15,97,06,02,2019,80.60,21.70
ObjectId("5c6612cbeed976247dfbf9c2"),45,15,96,06,02,2019,81.50,21.30
ObjectId("5c6613f9eed976247dfbf9c4"),50,15,96,06,02,2019,82.40,21.40
ObjectId("5c661526eed976247dfbf9c6"),55,15,96,06,02,2019,82.30,21.20
ObjectId("5c661654eed976247dfbf9c8"),01,15,96,07,02,2019,82.50,21.40
ObjectId("5c661781eed976247dfbf9ca"),06,15,95,07,02,2019,84.30,21.30
